"","KOD_SZS","NAZWA_ST","WMO_CBDH"
"161",253150020,"WITNO",92142
"162",253150010,"STARNIN",92143
"163",253160180,"TRZCIANKA",92201
"164",253160170,"CZ£OPA",92203
"165",253160160,"GOSTOMIA",92206
"166",253160080,"OKONEK",92219
"167",253160060,"KLUCZEWO",92223
"168",253160050,"BARWICE",92226
"169",253160040,"GRZMI•CA",92230
"170",253170230,"SZAMOCIN",92301
"171",253170220,"WYRZYSK",92309
"172",253170190,"WYSOKA",92312
"173",253170180,"WIELE",92315
"174",253160140,"KRAJENKA",92316
"175",253170130,"P£AZOWO",92335
"176",253170110,"ROZWORY",92336
"177",253170060,"ZAP DOWO",92345
"178",253170040,"KOSOBUDY",92354
"179",253170030,"R”ØKI-D BIE",92355
"180",253170020,"JEZIORNA",92359
"181",253170010,"BOROWY M£YN",92360
"182",253180230,"KOWALEWO",92408
"183",253180170,"NOWY JASINIEC",92418
"184",253180160,"RADZY—-FIJEWO",92421
"185",253180130,"RULEWO",92426
"186",253180110,"GARDEJA",92429
"187",253180070,"KORZENIEWO",92435
"188",253180010,"BOØEPOLE SZLACHECKIE",92447
"189",253190250,"TOMKOWO",92506
"190",253190240,"ROKITNICA",92508
"191",253190210,"BRODNICA N/DRW C•",92512
"192",253190180,"ZBICZNO",92515
"193",253190170,"KOSTKOWO",92517
"194",253190130,"BISKUPIEC N/OS•",92522
"195",253190110,"£ASIN",92524
"196",253190080,"PIETRZWA£D",92526
"197",253190050,"JAåKOWO",92537
"198",253190040,"STRASZEWO",92538
"199",253200220,"GRUDUSK",92603
"200",253200160,"R”G",92615
"201",253200080,"JEMIO£OWO",92626
"202",253210270,"KURPIE",92703
"203",253210240,"CIERPI TA",92706
"204",253210230,"KADZID£O",92708
"205",253210220,"DOBRYLAS",92710
"206",253210180,"PTAKI",92715
"207",253210170,"ROZOGI",92719
"208",253210160,"TUROåL",92721
"209",253210110,"PISZ",92727
"210",253210050,"SZYMONKA",92737
"211",253210030,"RYN",92738
"212",253220260,"BACIUTY",92803
"213",253220190,"WIZNA",92809
"214",253220160,"BURZYN",92813
"215",253220170,"KRYPNO KOåCIELNE",92814
"216",253220130,"RADZI£”W",92819
"217",253220120,"OSOWIEC",92822
"218",253220080,"D BOWO",92826
"219",253220050,"DRYGA£Y",92828
"220",253220040,"BIA£OBRZEGI",92832
"221",253220030,"E£K",92834
"222",253220020,"RACZKI",92844
"223",253230140,"ZAB£UD”W",92903
"224",253230130,"GR”DEK",92908
"225",253230070,"SZUDZIA£OWO",92916
"226",253230040,"KAMIONKA",92922
"227",253230030,"JAN”W",92923
"228",252140150,"MASZEWO",93002
"229",252140130,"CYBINKA",93004
"230",252140120,"BOCZ”W",93006
"231",252140090,"KOSTRZYN NAD ODR•",93010
"232",252140070,"BOLESZKOWICE",93014
"233",252140060,"GOZDOWICE",93015
"234",252140030,"OSIN”W DOLNY",93019
"235",252140040,"WARNICE",93020
"236",252140020,"MYåLIB”RZ",93023
"237",252140010,"CHOJNA",93026
"238",252150230,"KARGOWA",93104
"239",252150220,"SULECH”W",93105
"240",252150210,"GRYØYNA",93110
"241",252150190,"ZB•SZY—",93112
"242",252150160,"LUTOL SUCHY",93117
"243",252150150,"MI DZYRZECZ",93123
"244",252150130,"LUBIKOWO",93128
"245",252150090,"KRZESZYCE",93130
"246",252150080,"GOåCIM",93136
"247",252150070,"DREZDENKO",93138
"248",252150060,"STRZELCE KRAJE—SKIE",93139
"249",252150040,"£UBIANKA",93140
"250",252150030,"GIØYN",93141
"251",252150020,"DOBIEGNIEW",93142
"252",252150010,"TUCZNO",93143
"253",251160010,"B£OTNICA",93201
"254",252160260,"åWI TNO",93202
"255",252160250,"TUREW",93208
"256",252160210,"KONOJAD",93214
"257",252160220,"BRODNICA",93215
"258",252160190,"JAB£ONNA",93219
"259",252160180,"MOSINA",93222
"260",252160170,"ST SZEW",93223
"261",252160140,"GRZEBIENISKO",93231
"262",252160130,"Z BOWO",93236
"263",252160120,"Z£OTNIKI",93237
"264",252160090,"NOJEWO",93240
"265",252160070,"WRONKI",93243
"266",252160030,"MIA£Y",93247
"267",252160040,"MI£KOWO",93248
"268",252160050,"RYCZYW”£",93249
"269",252160340,"KOåCIAN II",93259
"270",252170290,"ØERK”W",93304
"271",252170280,"KL KA",93306
"272",252170220,"PIOTROWO",93316
"273",252170170,"NAGRADOWICE",93319
"274",252170160,"KOSTRZYN",93324
"275",252170150,"POWIDZ",93325
"276",252170120,"POBIEDZISKA",93330
"277",252170090,"TRZEMESZNO",93336
"278",252170070,"SZELEJEWO",93344
"279",252160060,"ROGOèNO",93345
"280",252170040,"ØNIN",93354
"281",252170020,"GO£A—CZ",93357
"282",252170010,"ZALESIE",93362
"283",252180250,"D•BIE",93405
"284",252180230,"W£ADYS£AW”W",93407
"285",252180220,"KONIN",93413
"286",252180190,"D BY SZLACHECKIE",93417
"287",252180180,"JAB£ONKA",93423
"288",252180170,"SOMPOLNO",93425
"289",252180150,"WANDOWO",93427
"290",252180160,"IZBICA KUJAWSKA",93429
"291",252180130,"G BICE",93437
"292",252180070,"SOBIESIERNIE",93444
"293",252180060,"PAKOå∆",93446
"294",252180030,"CZERNIKOWO",93452
"295",252190170,"KRZEPOCINEK",93501
"296",252190160,"WALEWICE",93506
"297",252190120,"ØYCHLIN",93514
"298",252190070,"DUNIN”W",93526
"299",252190040,"ØABOWO",93537
"300",252190010,"SK PE (WYMYåLIN)",93539
"301",252200130,"I£”W",93627
"302",252200110,"ZAKROCZYM",93632
"303",252200050,"WINNICA",93641
"304",252200040,"GO£OTCZYZNA",93644
"305",252210240,"WIELGOLAS",93703
"306",252210140,"STANIS£AW”W",93734
"307",252210110,"LASKI",93747
"308",252210070,"ZATORY",93752
"309",252210060,"SADOWNE",93753
"310",252210030,"W•SEWO",93762
"311",252210010,"GUTY DUØE",93764
"312",252220160,"MORDY",93809
"313",252220080,"£AZ”W",93823
"314",252220050,"BRA—SK",93832
"315",252220020,"SURAØ",93838
"316",252220010,"WIERZBOWO",93839
"317",252230160,"NURZEC",93906
"318",252230150,"KLESZCZELE",93907
"319",252230110,"HAJN”WKA",93913
"320",252230070,"KLEJNIKI",93916
"321",252230040,"NAREW",93920
"322",251140060,"SOBOLICE",94002
"323",251140040,"£ KNICA",94003
"324",251150360,"åWIERZAWA",94105
"325",251150320,"BIERNA",94107
"326",251150340,"GRYF”W åL•SKI",94110
"327",251150290,"SULIK”W",94114
